Words
1
2
3
4
5
6
7
8
9
'
","
/
baking
brown
cans
chopped
cloves
coarsely
crumbled
crumbs
crushed
cup
cups
cut
dark
divided
minced
mix
needed
optional
other
ounces
ounce
package
pan
parts
pound
sliced
tablespoons
tablespoon
tbs
tbsp
teaspoons
teaspoon
tsp
vegetable
white
large
purpose
peeled
discarded
finely
finely
pinches
pinch
shears
grey
serving
slices
slivered
